Vehicle ID: 221222, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 64717, Year: 2018, Miles: 195369, Gross Weight: 48000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221222_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221223, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 64423, Year: 2018, Miles: 198638, Gross Weight: 48000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221223_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221224, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 64042, Year: 2018, Miles: 183424, Gross Weight: 52000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221224_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221241, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 23000, Year: 2018, Miles: 293639, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221241_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221281, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 64202, Year: 2018, Miles: 192756, Gross Weight: 48000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221281_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221282, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 63129, Year: 2018, Miles: 193565, Gross Weight: 48000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221282_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221298, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 23000, Year: 2018, Miles: 432424, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221298_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221299, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 26000, Year: 2018, Miles: 328004, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221299_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221300, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 23000, Year: 2018, Miles: 362763, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221300_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221303, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 125, Price: 43895, Year: 2018, Miles: 541093, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: MANUAL, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221303_2018_FRTL_CASCADIA_125_FL-1.jpg
